"id","company_name","crunchbase_description","pitchbook_description","categories","top_node_id"
NULL,"Airview Productions","London Based Video Production Company",NULL,NULL,10
NULL,"All Things Media","All Things Media a studio specializing in mobile development, 3D modeling, animation, video production and editing.",NULL,NULL,10
NULL,"Alpasbox","We are an Animated Explainer Video production agency helping companies to convert visitors to customers.",NULL,NULL,10
NULL,"Alucinor Productions","Video Production Service, Video Editing Service, Advertising Agency",NULL,NULL,10
NULL,"Alveo Digital","Alveo Digital is a full service video production, broadcast media, digital advertising agency.",NULL,NULL,10
NULL,"Amazshot Studio","Amazshot studio is a video production company based in Bangalore. We create corporate, commercial and productive creation.",NULL,NULL,10
NULL,"Analog Productions","Film and Video Production Services",NULL,NULL,10
NULL,"Animation Monster Uk","Animation Monster Uk is a video production company specializing in video animations since a considerable amount of time",NULL,NULL,10
NULL,"Animation299","Animation299 is a leading Video Production Services Company in Miami. We offer 2d, 3d video services at best price.",NULL,NULL,10
NULL,"Animdan Media","Animdan Media is an animation video production company that works with brands and agencies all over the US.",NULL,NULL,10
NULL,"Animus Studios","Animus Studios makes video strategy, video production, filmmaking, motion graphic design.",NULL,NULL,10
NULL,"antiSocialMedia.tv","antiSocialMedia.tv is a London-based video production company that offers a range of interactive and informational film production packages.",NULL,NULL,10
NULL,"AOC Production","AOC Production is a full-fledged video production company in Bangalore specialized in making videos for start-ups from the beginning to end",NULL,NULL,10
NULL,"Approach Signal","Approach Signal is a video production company based out of Sarasota, Florida.",NULL,NULL,10
NULL,"appTV","appTV is an advertising company that offers businesses with video production solutions and services.",NULL,NULL,10
NULL,"Archibaldi Studio","Archibaldi Studio provides services in music, sound design, video production and voice-over for video games and mass media.",NULL,NULL,10
NULL,"ARCOM Productions","ARCOM Productions is a video production company.",NULL,NULL,10
NULL,"Arctic Storm Media","Arctic Storm Media is a Salt Lake City video production company specializing in driving web traffic.",NULL,NULL,10
NULL,"ardian forrest photography","ardian forrest photography is a video production company that offers a full range of photography services.",NULL,NULL,10
NULL,"!K7","A music video production company based in Berlin.",NULL,NULL,10
NULL,"078 Kobe","078 Kobe is the brand new annual event of music, film, interactive media, fashion, and food that take place in early-May in Kobe, Japan.",NULL,NULL,10
NULL,"10Beats","10Beats is a marketplace for freelance musicians and music professionals. It was built by musicians, for musicians.",NULL,NULL,10
NULL,"1308 Productions","1308 Productions is an independent non-profit organization devoted to public service and music education.",NULL,NULL,10
NULL,"1724 Records","1724 Records is a music company based in China that manages indie companies.",NULL,NULL,10
NULL,"1band 1brand","1band 1brand, a free, subscription-based digital platform, introduces emerging musicians and fashion labels to influential young adults.",NULL,NULL,10
NULL,"1Day1Song","1Day1Song is a music recommendation service that helps its users discover new songs daily.","Provider of an online music recommendation platform. The company offers a web-based platform and mobile application that enables the users to discover, share and recommend music with each others online.",NULL,10
NULL,"1Hub Media Ltd","Publisher of digital information platforms, MUSIC:ED (https://musiceducation.global) and Chorally (https://choral.ly).",NULL,NULL,10
NULL,"206Beats","An online hub for local artists to showcase new music.",NULL,NULL,10
NULL,"21 Productions","21 Productions is a film and music production company.",NULL,NULL,10
NULL,"212 DB Corp.","212 DB Corp is develops online software for gaming and music applications.",NULL,NULL,10
NULL,"22tracks","22tracks offers a music discovery service curated by local top DJs from Amsterdam, Brussels, London and Paris.",NULL,NULL,10
NULL,"23 Capital","23 Capital is a capital and solutions company focused exclusively on the sports, music and entertainment sectors.",NULL,NULL,10
NULL,"234 Digital Limited","234 Digital Limited is a software studio that provides apps which enable users to discover African music and share it on social media.",NULL,NULL,10
NULL,"24-7 Entertainment GmbH","24-7 Entertainment is the only digital music service provider.",NULL,NULL,10
NULL,"247xclusive","All Time Entertainment Blog, Nigerian Music,Videos and gist",NULL,NULL,10
NULL,"24Faster.com","24Faster provides a wide range of news such as Hollywood, Bollywood, celebrity gossips, and music and movie reviews.",NULL,NULL,10
NULL,"27 Club","New Music Company",NULL,NULL,10
NULL,"2DEX","A gaming music company striving to become the number one knowledge center of the gaming/esports and music overlap to user experiences.",NULL,NULL,10
NULL,"2KXO","2KXO is the first private network for musicians, artists, photographers, and more to buy, sell, interact and share their creations.",NULL,NULL,10
NULL,"2muse","China's Environmental Music Design",NULL,NULL,10
NULL,"2Soul Music","2Soul Music will do to contribute to society and play a role as a lifestyle company and the creation of new high quality music always.",NULL,NULL,10
NULL,"2yuz.com","Social Media web site for musician, actors, directors, members of the media and celebrities",NULL,NULL,10
NULL,"300 Ent","300 Ent is a music company providing music recording services.",NULL,NULL,10
NULL,"303 Magazine","303 Magazine is Denver's Young Professional Lifestyle magazine featuring Fashion, Dining, Music, Culture and Events.",NULL,NULL,10
NULL,"360dopes","Blog for music and entertainment",NULL,NULL,10
NULL,"37 Entertainment LLC","Artist Representation | Music Publishing | Record Label",NULL,NULL,10
"","Vedantu","Vedantu is an interactive online tutoring platform for students. It offers individual and group classes delivered by experienced teachers","Provider of a live online tutoring platform designed to offer a personalized and democratized world of learning. The company's platform focuses on live, online one-to-one teaching and a variety of test preparation courses, as well as offers a complete live personalized interaction between a student and a teacher using their custom built whiteboard, audio and video technology, enabling students in remote areas to receive tuition from qualified teachers and improve their educational skills.","Education > Out of school Learning > K-12 supplemental Learning  ",11
"","afterschool","AfterSchool is a social network app where teens speak their mind, connect with classmates, and participate in social change efforts.",NULL,"Education: School Facilitation Tools, Communication: Social Media",11
"","Kahoot","Kahoot! is a game-based learning platform and one of the world’s fastest-growing learning brands with millions of monthly active users in over 200 countries. Kahoot! makes it easy to create, discover, play and share fun learning games in minutes—for any subject, in any language, on any device, for all ages.

Based on the mission of making learning awesome, Kahoot!’s game-based platform engages the heart, hand and mind, creating a wildly more social, meaningful and powerful pedagogical experience. Kahoot!’s platform and easy-to-use features not only attract educators and students but reach beyond the classroom to corporate powerhouses, sporting and cultural events.","Provider of a game-based learning platform designed to help teachers create tailored quizzes and exams. The company's learning platform helps teachers create a fun, social and game-like environment in the classroom by sharing interactive educational games for any subject or discussion topic in any language, enabling teachers to engage their student in a new and enjoyable way.","Education:School Facilitation Tools",11
"","Ayana Renewable Power","Ayana Renewable Power is an Indian renewable energy platfor.",NULL,"Energy: Solar",12
"","Kite Power Systems","Kite Power Solutions (KPS) is a UK business developing a disruptive technology to produce renewable energy from the wind.","Provide of a disruptive technology platform designed to produce renewable energy from the wind. The company's disruptive technology platform develops onshore and offshore kite arrays and offers a technology that can be deployed in locations where conventional wind cannot reach, enabling consumers to access renewable energy, reduce dependency on fossil fuels, energy security as well as reduce the impact of climate change.","Energy: Wind",12
"","Snowflake","Snowflake provides a data warehouse as a service designed for the cloud.","Developer of a SaaS-based cloud data warehousing platform designed to safely and efficiently store, transform and analyze business data. The company's platform includes data infrastructure for the cloud, with focus on big data, security and storage for bringing together all users, all data and all workloads in a single cloud service, enabling businesses to access data from any location.","Enterprise Tech",13
"","procore","Procore provides cloud-based construction management software.","Developer of a cloud-based project-management platform intended to manage construction and real-estate projects. The company's web-based platform features tools for daily job logs, future analytics, RFI management and schedule-sharing, enabling general contractors and construction firms to edit and share data in the field as well as provide facility owners with continuous visibility on the progress of their entire project portfolio.","Enterprise Tech > Business Intelligence, Construction ",13
"","SalesForce","Salesforce is a global cloud computing company that develops CRM solutions and provides business software on a subscription basis.",NULL,"Enterprise Tech > Business Intelligence, Enterprise Tech > Marketing > CRM, Technology > Cloud Computing",13
"","Locus.sh","Locus is an intelligent logistics automation platform.","Developer of logistic management mobile application and platform. The company provides application program interface based mobile applications and platform to help clients to manage client’s deliveries by scheduling & tracking their logistics network using advanced algorithms.","Enterprise Tech > Business Intelligence, Logistics > Supply Chain > ",13
"","Arundo Analytics","Arundo Analytics provides cloud-based and edge-enabled software for the deployment and management.","Provider of a cloud-based and edge-enabled software for the deployment and management of enterprise-scale industrial data science solutions. The company's software suite Arundo Enterprise connects live data to machine learning models and model outputs to business decisions, enabling companies in heavy industries to quickly integrate machine learning into operations in areas such as critical equipment reliability and improved asset performance.","Enterprise Tech > Business Intelligence, Technology > AI, Technology > Internet of Things, Logistics > Supply Chain > Sensors and Asset Tracking",13
"","Matillion ","Matillion is a data transformation solution provider or cloud data warehouses.","Developer of cloud data integration software that helps companies exploit their data in the cloud. The company's cloud data integration tools makes loading and transforming data on Amazon Redshift, Snowflake and Google BigQuery fast, easy, and affordable, enabling customers to extract, load and transform data into and on cloud-based data warehouses, quickly and at scale.","Enterprise Tech > Business Intelligence, Technology > Cloud > Cloud Data Storage",13
"","Harri","Harri's Workforce OS™ is designed specifically to serve the unique needs of the hospitality industries.",NULL,"Enterprise Tech > HR",13
"","Zenjob","Zenjob is an automated, data-driven, full-service staffing platform.","Provider of an on-demand staffing platform intended to help students receive real-time job offers directly on their smartphones. The company's platform provides jobs in real time via the application to address short-notice staffing challenges of companies across various sectors such as hotels, gastronomy and retail, enabling companies to fill short-term staffing needs without administrative hassle.","Enterprise Tech > HR > Recruiting ",13
"","Hackerrank","HackerRank is a technical hiring platform that helps businesses evaluate software developers based on skill.","Provider of an online technology platform intended for companies to evaluate technical talent based on skills. The company's platform includes a technical hiring hub for businesses uses automated skills assessments, enabling companies to recruit technical talents from around the world.","Enterprise Tech > HR > Recruitment",13
"","AdQuick","AdQuick is a marketplace to buy and sell outdoor advertising.","Provider of a self-service platform designed for building, buying and measuring outdoor advertising anywhere in the US. The company's platform is a self-service platform that sources options from every vendor in a desired market and send users a single dynamic link to compare options based on their priorities, enabling businesses and corporate clients to plan and purchase their advertising campaigns in just a few clicks.","Enterprise Tech > Marketing > Advertising",13
"","Button ","Button.ai is a bot integration for Slack that nudges conversations along with quick-reply buttons below a message.","Developer of a mobile connection platform designed to unify applications to commerce brands and to power commerce partnerships. The company's mobile connection platform offers mobile customer acquisition, engagement and monetization services, enabling publishers and merchants to add cross-application features, generate user loyalty and drive revenue.","Enterprise Tech > Marketing > CRM",13
"","MenuSifu","Menusifu is a data-driven company that strives to build all-around POS cloud platform to simplify restaurant operations.","Provider of a point-of-sales system designed to simplify restaurant operations by making them easier and smarter. The company's platform offers an online ordering system and related services for the booking of catering services and at the same time collects all customer transactions and translates that information into easy to understand reports and graphs, enabling restaurateurs to manage their staff scheduling more efficiently, based on performance and monitor their staff productivity.","Enterprise Tech > Marketing > CRM > POS, Food > Restaurant",13
"","clover","Clover is a cloud-based open business operating system, powered by Android-based devices.",NULL,"Enterprise tech > Marketing > CRM > POS, IT > Saas ",13
"","Youplus",NULL,NULL,"Enterprise Tech > Marketing > CRM,  Digital Media > Video Production, Technology > AI > ML",13
"","Aha","Aha Radio turning web content into radio stations for drivers.","Provider of a pet tag connector. The company develops a tag holder containing clasp and lock features that can be attached to the collars of dogs without any hassle and thereby enables the pet-owners to manage their pets.","Enterprise Tech > Marketing, Professional Services > Management ",13
"","Buffer","Buffer helps users share social media content by scheduling online posts throughout the day.","Provider of a social media management platform. The company provides a platform for the users to schedule social media posts, photos and videos to different social Websites.","Enterprise Tech > PR",13
"","StackAdapt","StackAdapt is the #1 performing native advertising platform helping brands accelerate customer engagement and acquisition.","Provider of native advertising services. The company's platform provides a suite of tools that allow companies to launch native advertising campaigns and distribute branded content across publisher sites.","Enterprise tech: Marketing: Advertising",13
"","Outreach","Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.","Developer of a sales engagement platform designed to drive deeper engagement with prospects. The company's platform uses machine learning to automate and personalize communication, track sales statistics, help teams collaborate, send automated alerts and to help sales teams to touch all leads, opportunities and customers with targeting content, enabling users to increase the volume of sales meetings and create a more efficient workflow for salespeople.","Enterprise Tech: Marketing: CRM",13
"","Kustomer","Kustomer is the omnichannel SaaS platform reimagining enterprise customer service to deliver standout experiences – not resolve tickets.","Developer of a customer relationships management platform designed to offer proactive customer service and support. The company's platform provides a customer-centric tool that unifies everything that agents and teams need in one place to manage customer relationships and resolve issues, enabling clients to concentrate on their core business.","Enterprise tech: Marketing: CRM",13
"","BounceX","BounceX enables clients to transform their web traffic by serving content tailored to different visitor segments.","Provider of cloud-based behavioral marketing platform designed to offer programmatic advertisements. The company's behavioral marketing platform offers people-based marketing automation and inbox re-targeting, enabling enterprises to target abandoning visitors with content and convert them into customers.","Enterprise tech: Marketing: CRM",13
"","zendesk","Zendesk is a customer service platform that builds software to empower organization and customer relationships.",NULL,"Enterprise tech: Marketing: CRM, ",13
"","Wasabi Technologies","Wasabi is a hot cloud storage company delivering low-cost, fast, and reliable cloud storage.","Wasabi is a hot cloud storage company delivering low-cost, fast, and reliable cloud storage.","Enterprise, Technology > Cloud > Cloud Storage ",13
"","Rubrik","Rubrik offers live data access for recovery and application development by fusing enterprise data management with web-scale IT.","Provider of cloud data management platform designed to index massive amounts of data while globally executing tasks in an efficient manner. The company's platform offers instant recoveries, hands-free management, automated workflows, speedy backups for physical, virtual, cloud applications and data, providing clients with data management and backup services across on-premise, cloud and hybrid networks.","Enterprise Tech ",13
"","cohesity ","Cohesity delivers the industry’s first hyperconverged secondary storage for backup, test/dev, file services, and analytic datasets.","Developer of a hyperconverged data platform designed to consolidate and manage secondary data at web scale. The company's platform provides distributed storage and consolidates all secondary data and associated management functions on one unified system, enabling enterprises to eliminate mass data fragmentation as well as protect, manage and leverage most important digital asset.","Enterprise Tech",13
"","Civil","Civil is a decentralized marketplace for sustainable journalism.","Provider of a self-moderating comment platform intended to make online discussion and debate work for everyone. The company's self-moderating comment platform combines crowdsourced data with behavior-based machine learning to both automate content moderation and motivate users to improve their own behavior, enabling users to reduce the time they spend in managing people and conducting spam-free and abuse-free public conversations.","Entertainment > News, Technology > Blockchain ",14
"","Castbox","Castbox is an award-winning global podcast platform that enables anyone to easily find, access, create and enjoy spoken audio content.","Developer of spoken audio platform designed to deliver contextual recommendations for listeners of podcasts. The company's audio platform can be accessed through a mobile application to download audio/visual content covering both entertainment and education, enabling users with free download portal for listening on-demand radio, podcasts and audiobooks anywhere, anytime. It uses natural language processing (NLP) algorithm to transcribe spoken audio content, combined with machine learning to surface personalized results tailored to each user's search and listening habits.","Entertainment > Radio Tech > Podcasts , Technology > AI ",14
"","Pratipili",NULL,NULL,"Entertainment: Book Tech",14
"","Netflix","Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, PCs, Macs, mobiles, tablets, and so on.",NULL,"Entertainment: Film and TV: Streaming",14
"","Grana","Grana is a fashion brand that offers a range of clothes made from a selection of fabrics for men and women.","Developer of an online shopping platform for men and women. The company manufactures and sells wardrobe essentials such as shirts, tops and jeans through its online shopping platform.","Fashion ",15
"","Everlane ","Everlane designs, manufactures, and sells luxury clothing items at a low retail markup via an online e-commerce website.","Provider of an online shopping website. The company develops an online platform that offers apparel, shoes and accessories for both men and women.","Fashion ",15
"","Rent the Runway","Rent the Runway is an online e-commerce website that allows women to rent designer apparel and accessories.","Provider of an online platform for renting dresses and accessories intended to revolutionize retail. The company's online apparel renting platform allows users to rent designer apparel and accessories, both on-demand and through its subscription service, enabling women to refresh their wardrobe and empower them to feel their best every day.","Fashion, Logistics > Consumer-focuesd Logisitics > Rentals",15
"","Outdoor voices","Outdoor Voices is an active lifestyle brand that makes technical apparel for recreation.","Operator of an online retail platform intended to offer active lifestyle apparel and sportswear. The company's platform designs activewear clothing products for men and women, which do not show sweat during exercise, enabling customers to experience a sweat-free exercise and other outdoor activities.","Fashion, Recreation : Fitness and Training",15
NULL,"9plus1 Limited","Subscription based rental service for maternity and baby wear",NULL,NULL,15
NULL,"* mastBus Laundry","Industrial/Domestic Laundry Service Provider",NULL,NULL,15
NULL,"Dewhirst Corporate Clothing","Dewhirst Corporate Clothing Limited provides mail order corporate wear in the United Kingdom.",NULL,NULL,15
NULL,"Ape & Apple","Ape & Apple is a seller of designer men's wear, men's shoes, and other men's fashion products.",NULL,NULL,15
NULL,"Bang Overseas","Bang Overseas is one of the leading manufacturers and exporters of men's wear.",NULL,NULL,15
NULL,"Bespokery","Bespokery is a online retailer and developer of women's wear.",NULL,NULL,15
NULL,"Cheer Sagar","Cheer Sagar is a leading Garment manufacturer and exporter, providing the wide range of women's wear and Kid's wear.",NULL,NULL,15
NULL,"EVIE FASHION","Evie Fashion is India's no 1 ultimate online destination for latest collection of women's wear and fashion accessories.",NULL,NULL,15
NULL,"FG ATELIER","Women's wear-to-work and office clothing",NULL,NULL,15
NULL,"Hakoba","Hakoba.com (Hakoba Inc), a brand by Fujiyama sarees & USA's premium ethnic clothing store, showcases the finest collection of women's wear.",NULL,NULL,15
NULL,"Indidzine","Indidzine is a shift and steps forward from the mushrooming breed of similar-looking Indian ethnic women's wear brands.",NULL,NULL,15
NULL,"Ishi Maya SELLEx","Ishi Maya SELLEx is a mobile based B2B platform for innovative solutions targeted towards the ethnic Indian women's wear industry.",NULL,NULL,15
NULL,"IZMAYLOVA","Izmaylova has created ready-to-wear and made-to-measure luxury women's wear collections driven by impeccable fit and quality.",NULL,NULL,15
NULL,"Lafayette 148 New York","Lafayette 148 New York is an apparel & fashion company offering women's wear in New York.",NULL,NULL,15
NULL,"Manley","Women's wear fashion and jewellery brand specialising in leather and embellished products.",NULL,NULL,15
NULL,"Matwali","Matwali is a destination for women's wear to empower women.",NULL,NULL,15
NULL,"Meem Fashions","We are the leading wholesaler and retailer of all types of branded designer salwar suits, gowns, kurtis, lehenga cholis, women's wear etc.",NULL,NULL,15
NULL,"Men's Italy","We are #1 Men's Wear Clothing on the Web",NULL,NULL,15
NULL,"My 1%","My 1% is a 4-gold online store that enables customers to find and purchase women's wear.",NULL,NULL,15
NULL,"Olsen","Olsen is a women’s fashion industry that operates women's wear brand.",NULL,NULL,15
NULL,"Online Shopping For Women","Online shopping for women's wear",NULL,NULL,15
NULL,"Phat Fashions","Phat Fashions designs, manufactures, and markets men's wear and women's wear.",NULL,NULL,15
NULL,"Pipiwang","Pipiwang is a wholesale e-commerce platform of women's wear.",NULL,NULL,15
NULL,"Printemps Group","Printemps Group is a French department store that focuses on beauty, lifestyle, fashion, accessories, and men's wear.",NULL,NULL,15
NULL,"QuickStitch","QuickStitch provides all kinds of professional alterations and repairs services, for men's and women's wear.",NULL,NULL,15
NULL,"Savile Row Bespoke LLC","High class Custom Tailored Men's Wear clothing in the comfort of your home",NULL,NULL,15
NULL,"Supreme Men's Wear","Supreme Men's Wear is a distinctive, fashion forward, experience focused boutique; offering premium, ready to wear garments.",NULL,NULL,15
NULL,"Viyella","Viyella  is a classic women's wear company.",NULL,NULL,15
NULL,"Yigal AzrouÌÇl, Inc.","Yigal AzrouÌÇl is an apparel & fashion company providing women's wear.",NULL,NULL,15
NULL,"YVK Design","YVK Design is a women's wear brand and charity.",NULL,NULL,15
NULL,"#muhoov","#muhoov is an Estonian apparel brand that lets people show off love for their hood.",NULL,NULL,15
NULL,".Fashion Company","This section of the Apparel Search website is for locating fashion companies by name.",NULL,NULL,15
NULL,"10.23 Apparel","10.23 Apparel makes comfortable clothing that has political statements that is available to purchase through fundraisers.",NULL,NULL,15
NULL,"100 Thieves","100 Thieves, is an American e-sports, lifestyle and apparel brand","Operator and manager of eSports teams designed to compete in different games. The company operates teams to participate in professional gaming competition such as League of Legends, Fortnite and Clash of Royale along with offering apparel and merchandise like t-shirts and jerseys, enabling users to access gaming themed apparel.",NULL,15
NULL,"10StoreWalk","StoreWalk is a mobile application that allows users to browse apparels available in branded stores.",NULL,NULL,15
NULL,1620,"Technical Apparel for Work",NULL,NULL,15
NULL,"21st Boulevard","21st Boulevard is an online marketplace for independent emerging brands in the categories of apparel, accessories and home decor",NULL,NULL,15
NULL,"260 Sample Sale","260 Sample Sale is a retail company that provides fashion apparel, accessories, and luxury goods.",NULL,NULL,15
NULL,"2nd Swing Golf","2nd Swing Golf is a retail company offering golf apparel, shoes, and equipments.",NULL,NULL,15
NULL,"302designs","302designs is a clothing company that sells eco-friendly & artistically designed apparel. They sell online as well as in stores around the",NULL,NULL,15
NULL,"31 Bits","31 Bits is an apparel & fashion company offering brass jewelry.",NULL,NULL,15
NULL,"3DLOOK","3DLOOK develops the most advanced mobile body scanning tech for apparel retail and other industries","Developer of an instant human body scanning technology designed to offer an online body measuring mobile application based on artificial intelligence (AR, VR and AI) technologies. The company'san instant human body scanning technology develops a human body 3D scanning technology that works on mobile devices and doesn't require any additional hardware, enabling apparel, health, gaming and related industries use computer vision, machine learning and 3D matching to reach an unprecedented level of accuracy of measuring the human body.",NULL,15
NULL,"3M3 Creations","Arizona company in sewing production Apparel, Private Labeling, Uniforms, Swimsuits, Shirts, Blankets and much mor",NULL,NULL,15
NULL,47,"47 is an apparel & fashion company specializing in sportswear apparel.",NULL,NULL,15
NULL,"4X Apparel","Big and tall professional sports apparel.  NFL, NBA, MLB, NHL, College tee shirts, hoodies and jerseys in 2X-6X, XLT-5XLT sizes.",NULL,NULL,15
NULL,"5.11 Tactical","5.11 designer and marketer of purpose-built tactical apparel and gear.",NULL,NULL,15
NULL,"65 Max Apparel","65 Max Apparel provides quality clothing and accessories.",NULL,NULL,15
NULL,"7thOnline","7thOnline Apparel, Footwear and Accessories (AFA) industries, empowering merchandising and planning professionals with unprecedented demand.","Provider of cross channel merchandise and assortment management services to the retail and wholesale industry. The company provides cloud and enterprise software for enterprise planning, demand forecasting, and optimization of resources for its clients.",NULL,15
NULL,"99degrees Custom","99C manufactures build-to-order apparel for the growing me-commerce market and serves as an economic mobility bridge for the local.","Manufacturer of technical sports and active wear apparel. The company provides mass customization sportswear for leading and emerging brands, wearable technology integration, and fast turn apparel.",NULL,15
NULL,"A & E Stores Inc","A & E Stores is an apparel & fashion company that provides apparel and accessories.",NULL,NULL,15
NULL,"A Unique Presentation","A Unique Presentation provides customized promotional products and merchandising apparel for brands.",NULL,NULL,15
NULL,"A&A Optical","A&A Optical is an apparel & fashion company that provides fashion eyewear and sunglasses.",NULL,NULL,15
NULL,"A&C International","A&C International is a Shanghai factory based company who prides itself in the production of high quality ladies fashion apparel.",NULL,NULL,15
NULL,"A&CT","We're a team of designers and creators united by one goal - to reinvent fashion. High-quality and sustainable apparel made in Germany.",NULL,NULL,15
NULL,"A'GACI LLC","A'GACI LLC is a fashion apparel for women company.",NULL,NULL,15
NULL,"Aalfs Manufacturing Inc.","Aalfs Manufacturing Inc. is an apparel and fashion company specializing in denim and twill clothing.",NULL,NULL,15
NULL,"Aaron Andrews Apparel","Aaron Andrews Apparel is an online apparel shop.",NULL,NULL,15
NULL,"Aawol","Aawol is an Atlanta based Sportswear and Apparel Company that promotes the 'Without Limits' Lifestyle.",NULL,NULL,15
NULL,"Abana Creations","Abana creations is a manufacturer and exporter of soapstone,saddlery,anarkali dresses,handmade dresses and apparels.",NULL,NULL,15
NULL,"AbbeyPost","Software-driven custom apparel that fits every woman's shape and size.","Operator of online marketplace and community. The company provides software-driven custom apparel and focuses on the needs of the plus size women's fashion market.",NULL,15
"","Ellevest","Ellevest is a digital investing platform for women.","Provider of a digital investment platform designed to help women take control of their investments easily. The company's platform uses a proprietary algorithm that incorporates women's unique salary peaks, assets, recommends, goal-specific portfolios, target amounts and savings for a completely customized investment plan, enabling female investors to prioritize their financial goals and make money in the markets.","Finance and Accounting > Investment",16
"","coinbase","Coinbase is a digital currency wallet service that allows traders to buy and sell bitcoin.","Developer of a digital currency platform for bitcoin transactions designed to create an open financial system for merchants and consumers. The company's platform helps merchants and consumers to transact with bitcoin currency, enabling them to instantly exchange digital currency.","Financial Services > Cryptocurrency",16
"","Helium ","Helium is a marketplace that lets anyone to hire professionals and services for parties and events.","Developer of online platform that help writers to share their knowledge. The company provides content and information in the areas of arts and humanities, autos, business, celebrations and holidays, computers and technology, creative writing, education, entertainment, food and drink, health and fitness, hobbies and games and home and garden.","Financial Services > Cryptocurrency",16
"","acorns","Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.","Developer of a mobile application designed to automate micro investments into exchange traded funds (ETF). The company's software application uses a proprietary financial engine, which allows customers to round up spare change from everyday purchases and invest these sub-dollar amounts into a professionally managed portfolio of index funds, enabling users to connect any credit or debit card and a checking account easily.","Financial Services > Investment, ",16
"","Avant ","Avant is an online lending platform that offers alternatives to its clients with safer, faster, better financial products.","Developer of integrating and machining software in Italy. The company's software provides real-time tracking and management systems that provide specifically generated reports that allow the client to have total control over the manufacturing process .","Financial Services > Loans",16
"","Possible Finance ","Improving the financial health of everyday Americans","Provider of flexible short-terms loans intended to be affordable for low-income borrowers. The company's services allow for longer re-payment schedules through multiple installments, enabling borrowers to receive pay-day financing with more relaxed terms.","Financial Services > Loans ",16
